table_name	business_module	ordinal	column_name	mysql_type	base_type	nullable	default	auto_increment	primary_key	index	unique_index	foreign_key_target	source_description	usage_note	source_file	source_line
llx_accounting_account	会计/总账	12	fk_user_author	integer	integer	YES	NULL	N	N					创建人/制单人用户 ID	htdocs/install/mysql/tables/llx_accounting_account.sql	35
llx_accounting_account	会计/总账	13	fk_user_modif	integer	integer	YES	NULL	N	N					最后修改人用户 ID	htdocs/install/mysql/tables/llx_accounting_account.sql	36
llx_accounting_account	会计/总账	14	active	tinyint	tinyint	NO	1	N	N					启用标识（通常 1=启用，0=停用）	htdocs/install/mysql/tables/llx_accounting_account.sql	37
llx_accounting_account	会计/总账	15	centralized	tinyint	tinyint	NO	0	N	N					字段 centralized（基于字段名推断）	htdocs/install/mysql/tables/llx_accounting_account.sql	38
llx_accounting_account	会计/总账	16	reconcilable	tinyint	tinyint	NO	0	N	N					字段 reconcilable（基于字段名推断）	htdocs/install/mysql/tables/llx_accounting_account.sql	39
llx_accounting_account	会计/总账	17	import_key	varchar(14)	varchar	YES		N	N					导入批次/外部导入键	htdocs/install/mysql/tables/llx_accounting_account.sql	40
llx_accounting_account	会计/总账	18	extraparams	varchar(255)	varchar	YES		N	N				for other parameters with json format	扩展参数/结构化文本；源码注释：for other parameters with json format	htdocs/install/mysql/tables/llx_accounting_account.sql	41
llx_accounting_analytic_account	会计/总账	1	rowid	integer	integer	NO		Y	Y	PRIMARY	PRIMARY			主键行标识；通常为自增整数	htdocs/install/mysql/tables/llx_accounting_analytic_account-accounting.sql	21
llx_accounting_analytic_account	会计/总账	2	label	varchar(255)	varchar	NO		N	N					名称或标签	htdocs/install/mysql/tables/llx_accounting_analytic_account-accounting.sql	22
llx_accounting_analytic_account	会计/总账	3	code	varchar(32)	varchar	NO		N	N	uk_accounting_analytic_account	uk_accounting_analytic_account			业务代码	htdocs/install/mysql/tables/llx_accounting_analytic_account-accounting.sql	23
llx_accounting_analytic_account	会计/总账	4	description	text	text	YES		N	N					描述	htdocs/install/mysql/tables/llx_accounting_analytic_account-accounting.sql	24
llx_accounting_analytic_account	会计/总账	5	fk_axis	integer	integer	NO		N	N					外部关联 ID（具体目标以外键或业务代码为准）（基于字段名推断）	htdocs/install/mysql/tables/llx_accounting_analytic_account-accounting.sql	25
llx_accounting_analytic_account	会计/总账	6	active	integer	integer	YES	1	N	N					启用标识（通常 1=启用，0=停用）	htdocs/install/mysql/tables/llx_accounting_analytic_account-accounting.sql	26
llx_accounting_analytic_account	会计/总账	7	entity	integer	integer	NO	1	N	N	uk_accounting_analytic_account	uk_accounting_analytic_account			多实体/多公司隔离标识	htdocs/install/mysql/tables/llx_accounting_analytic_account-accounting.sql	27
llx_accounting_analytic_account	会计/总账	8	date_start	date	date	YES		N	N					日期/时间字段（基于字段名推断）	htdocs/install/mysql/tables/llx_accounting_analytic_account-accounting.sql	28
llx_accounting_analytic_account	会计/总账	9	date_end	date	date	YES		N	N					日期/时间字段（基于字段名推断）	htdocs/install/mysql/tables/llx_accounting_analytic_account-accounting.sql	29
llx_accounting_analytic_account	会计/总账	10	datec	datetime	datetime	YES		N	N					创建日期/时间	htdocs/install/mysql/tables/llx_accounting_analytic_account-accounting.sql	30
llx_accounting_analytic_account	会计/总账	11	tms	timestamp	timestamp	YES	CURRENT_TIMESTAMP	N	N					最后修改时间戳	htdocs/install/mysql/tables/llx_accounting_analytic_account-accounting.sql	31
llx_accounting_analytic_account	会计/总账	12	fk_user_author	integer	integer	NO		N	N					创建人/制单人用户 ID	htdocs/install/mysql/tables/llx_accounting_analytic_account-accounting.sql	32
llx_accounting_analytic_account	会计/总账	13	fk_user_modif	integer	integer	YES		N	N					最后修改人用户 ID	htdocs/install/mysql/tables/llx_accounting_analytic_account-accounting.sql	33
llx_accounting_analytic_account	会计/总账	14	import_key	varchar(14)	varchar	YES		N	N					导入批次/外部导入键	htdocs/install/mysql/tables/llx_accounting_analytic_account-accounting.sql	34
llx_accounting_analytic_axis	会计/总账	1	rowid	integer	integer	NO		Y	Y	PRIMARY	PRIMARY			主键行标识；通常为自增整数	htdocs/install/mysql/tables/llx_accounting_analytic_axis-accounting.sql	21
llx_accounting_analytic_axis	会计/总账	2	label	varchar(255)	varchar	NO		N	N					名称或标签	htdocs/install/mysql/tables/llx_accounting_analytic_axis-accounting.sql	22
llx_accounting_analytic_axis	会计/总账	3	code	varchar(32)	varchar	NO		N	N	uk_accounting_analytic_axis	uk_accounting_analytic_axis			业务代码	htdocs/install/mysql/tables/llx_accounting_analytic_axis-accounting.sql	23
llx_accounting_analytic_axis	会计/总账	4	active	integer	integer	YES	1	N	N					启用标识（通常 1=启用，0=停用）	htdocs/install/mysql/tables/llx_accounting_analytic_axis-accounting.sql	24
llx_accounting_analytic_axis	会计/总账	5	entity	integer	integer	NO	1	N	N	uk_accounting_analytic_axis	uk_accounting_analytic_axis			多实体/多公司隔离标识	htdocs/install/mysql/tables/llx_accounting_analytic_axis-accounting.sql	25
llx_accounting_analytic_axis	会计/总账	6	datec	datetime	datetime	YES		N	N					创建日期/时间	htdocs/install/mysql/tables/llx_accounting_analytic_axis-accounting.sql	26
llx_accounting_analytic_axis	会计/总账	7	tms	timestamp	timestamp	YES	CURRENT_TIMESTAMP	N	N					最后修改时间戳	htdocs/install/mysql/tables/llx_accounting_analytic_axis-accounting.sql	27
llx_accounting_analytic_axis	会计/总账	8	fk_user_author	integer	integer	NO		N	N					创建人/制单人用户 ID	htdocs/install/mysql/tables/llx_accounting_analytic_axis-accounting.sql	28
llx_accounting_analytic_axis	会计/总账	9	fk_user_modif	integer	integer	YES		N	N					最后修改人用户 ID	htdocs/install/mysql/tables/llx_accounting_analytic_axis-accounting.sql	29
llx_accounting_analytic_axis	会计/总账	10	import_key	varchar(14)	varchar	YES		N	N					导入批次/外部导入键	htdocs/install/mysql/tables/llx_accounting_analytic_axis-accounting.sql	30
llx_accounting_analytic_distribution	会计/总账	1	rowid	integer	integer	NO		Y	Y	PRIMARY	PRIMARY			主键行标识；通常为自增整数	htdocs/install/mysql/tables/llx_accounting_analytic_distribution-accounting.sql	21
llx_accounting_analytic_distribution	会计/总账	2	fk_source_line	integer	integer	NO		N	N				id de la ligne source (facture, écriture, etc.)	外部关联 ID（具体目标以外键或业务代码为准）；源码注释：id de la ligne source (facture, écriture, etc.)	htdocs/install/mysql/tables/llx_accounting_analytic_distribution-accounting.sql	22
llx_accounting_analytic_distribution	会计/总账	3	sourcetype	varchar(32)	varchar	NO		N	N				ex: 'facturedet', 'accounting_line'	字段 sourcetype；源码注释：ex: 'facturedet', 'accounting_line'	htdocs/install/mysql/tables/llx_accounting_analytic_distribution-accounting.sql	23
llx_accounting_analytic_distribution	会计/总账	4	fk_analytic_account	integer	integer	NO		N	N			llx_accounting_analytic_account.rowid		外部关联 ID（具体目标以外键或业务代码为准）（基于字段名推断）	htdocs/install/mysql/tables/llx_accounting_analytic_distribution-accounting.sql	24
llx_accounting_analytic_distribution	会计/总账	5	percentage	real	real	YES	100	N	N				ex: 50.0 pour 50%	比例/百分比字段；源码注释：ex: 50.0 pour 50%	htdocs/install/mysql/tables/llx_accounting_analytic_distribution-accounting.sql	25
llx_accounting_analytic_distribution	会计/总账	6	amount	double(24,8)	double	YES		N	N				optional, if you prefer to work on the amount	金额；源码注释：optional, if you prefer to work on the amount	htdocs/install/mysql/tables/llx_accounting_analytic_distribution-accounting.sql	26
llx_accounting_analytic_distribution	会计/总账	7	entity	integer	integer	YES	1	N	N					多实体/多公司隔离标识	htdocs/install/mysql/tables/llx_accounting_analytic_distribution-accounting.sql	27
llx_accounting_analytic_distribution	会计/总账	8	datec	datetime	datetime	YES		N	N					创建日期/时间	htdocs/install/mysql/tables/llx_accounting_analytic_distribution-accounting.sql	28
llx_accounting_analytic_distribution	会计/总账	9	tms	timestamp	timestamp	YES	CURRENT_TIMESTAMP	N	N					最后修改时间戳	htdocs/install/mysql/tables/llx_accounting_analytic_distribution-accounting.sql	29
llx_accounting_analytic_distribution	会计/总账	10	fk_user_author	integer	integer	NO		N	N					创建人/制单人用户 ID	htdocs/install/mysql/tables/llx_accounting_analytic_distribution-accounting.sql	30
llx_accounting_analytic_distribution	会计/总账	11	fk_user_modif	integer	integer	YES		N	N					最后修改人用户 ID	htdocs/install/mysql/tables/llx_accounting_analytic_distribution-accounting.sql	31
llx_accounting_analytic_distribution	会计/总账	12	import_key	varchar(14)	varchar	YES		N	N					导入批次/外部导入键	htdocs/install/mysql/tables/llx_accounting_analytic_distribution-accounting.sql	32
llx_accounting_balance_snapshot	会计/总账	1	rowid	integer	integer	NO		Y	Y	PRIMARY	PRIMARY			主键行标识；通常为自增整数	htdocs/install/mysql/tables/llx_accounting_balance_snapshot-accounting.sql	20
llx_accounting_balance_snapshot	会计/总账	2	entity	integer	integer	NO	1	N	N	uk_accounting_balance_snapshot, idx_accounting_balance_snapshot_account, idx_accounting_balance_snapshot_subaccount	uk_accounting_balance_snapshot			多实体/多公司隔离标识	htdocs/install/mysql/tables/llx_accounting_balance_snapshot-accounting.sql	21
llx_accounting_balance_snapshot	会计/总账	3	fk_fiscalyear	integer	integer	NO		N	N	uk_accounting_balance_snapshot, idx_accounting_balance_snapshot_account, idx_accounting_balance_snapshot_subaccount	uk_accounting_balance_snapshot			外部关联 ID（具体目标以外键或业务代码为准）（基于字段名推断）	htdocs/install/mysql/tables/llx_accounting_balance_snapshot-accounting.sql	22
llx_accounting_balance_snapshot	会计/总账	4	account_number	varchar(32)	varchar	NO		N	N	uk_accounting_balance_snapshot, idx_accounting_balance_snapshot_account	uk_accounting_balance_snapshot			字段 account_number（基于字段名推断）	htdocs/install/mysql/tables/llx_accounting_balance_snapshot-accounting.sql	23
llx_accounting_balance_snapshot	会计/总账	5	account_label	varchar(255)	varchar	NO		N	N					名称/标题字段（基于字段名推断）	htdocs/install/mysql/tables/llx_accounting_balance_snapshot-accounting.sql	24
llx_accounting_balance_snapshot	会计/总账	6	subledger_account	varchar(32)	varchar	YES		N	N	uk_accounting_balance_snapshot, idx_accounting_balance_snapshot_subaccount	uk_accounting_balance_snapshot			字段 subledger_account（基于字段名推断）	htdocs/install/mysql/tables/llx_accounting_balance_snapshot-accounting.sql	25
llx_accounting_balance_snapshot	会计/总账	7	subledger_label	varchar(255)	varchar	YES		N	N					名称/标题字段（基于字段名推断）	htdocs/install/mysql/tables/llx_accounting_balance_snapshot-accounting.sql	26
llx_accounting_balance_snapshot	会计/总账	8	debit	double(24,8)	double	NO	0	N	N	idx_accounting_balance_snapshot_account, idx_accounting_balance_snapshot_subaccount				字段 debit（基于字段名推断）	htdocs/install/mysql/tables/llx_accounting_balance_snapshot-accounting.sql	27
llx_accounting_balance_snapshot	会计/总账	9	credit	double(24,8)	double	NO	0	N	N	idx_accounting_balance_snapshot_account, idx_accounting_balance_snapshot_subaccount				字段 credit（基于字段名推断）	htdocs/install/mysql/tables/llx_accounting_balance_snapshot-accounting.sql	28
llx_accounting_balance_snapshot	会计/总账	10	date_snapshot	datetime	datetime	YES		N	N					日期/时间字段（基于字段名推断）	htdocs/install/mysql/tables/llx_accounting_balance_snapshot-accounting.sql	29
llx_accounting_balance_snapshot	会计/总账	11	tms	timestamp	timestamp	YES	CURRENT_TIMESTAMP	N	N					最后修改时间戳	htdocs/install/mysql/tables/llx_accounting_balance_snapshot-accounting.sql	30
llx_accounting_bookkeeping	会计/总账	1	rowid	integer	integer	NO		Y	Y	PRIMARY	PRIMARY			主键行标识；通常为自增整数	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	23
llx_accounting_bookkeeping	会计/总账	2	entity	integer	integer	NO	1	N	N	idx_accounting_bookkeeping_piece_num, idx_accounting_bookkeeping_numero_compte, idx_accounting_bookkeeping_code_journal			| multi company id	多实体/多公司隔离标识；源码注释：| multi company id	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	24
llx_accounting_bookkeeping	会计/总账	3	ref	VARCHAR(30)	varchar	YES		N	N	idx_accounting_bookkeeping_ref			FEC:EcritureNum  | accounting transaction id. In future, will be not null and will replace piece_num that is an ID, not a ref.	业务参考号/单号；源码注释：FEC:EcritureNum  | accounting transaction id. In future, will be not null and will replace piece_num that is an ID, not a ref.	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	25
llx_accounting_bookkeeping	会计/总账	4	piece_num	integer	integer	NO		N	N	idx_accounting_bookkeeping_piece_num			FEC:EcritureNum  | accounting transaction id	字段 piece_num；源码注释：FEC:EcritureNum  | accounting transaction id	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	26
llx_accounting_bookkeeping	会计/总账	5	doc_date	date	date	NO		N	N	idx_accounting_bookkeeping_doc_date			FEC:PieceDate    | date of source document	日期/时间字段；源码注释：FEC:PieceDate    | date of source document	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	27
llx_accounting_bookkeeping	会计/总账	6	doc_type	varchar(30)	varchar	NO		N	N				| facture_client/reglement_client/facture_fournisseur/reglement_fournisseur/import	字段 doc_type；源码注释：| facture_client/reglement_client/facture_fournisseur/reglement_fournisseur/import	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	28
llx_accounting_bookkeeping	会计/总账	7	doc_ref	varchar(300)	varchar	NO		N	N				FEC:PieceRef  | facture_client/reglement_client/... reference number	字段 doc_ref；源码注释：FEC:PieceRef  | facture_client/reglement_client/... reference number	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	29
llx_accounting_bookkeeping	会计/总账	8	fk_doc	integer	integer	NO		N	N	idx_accounting_bookkeeping_fk_doc			| facture_client/reglement_client/... rowid	外部关联 ID（具体目标以外键或业务代码为准）；源码注释：| facture_client/reglement_client/... rowid	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	30
llx_accounting_bookkeeping	会计/总账	9	fk_docdet	integer	integer	NO		N	N	idx_accounting_bookkeeping_fk_docdet			| facture_client/reglement_client/... line rowid	外部关联 ID（具体目标以外键或业务代码为准）；源码注释：| facture_client/reglement_client/... line rowid	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	31
llx_accounting_bookkeeping	会计/总账	10	thirdparty_code	varchar(32)	varchar	YES		N	N				Third party code (customer or supplier) when record is saved (may help debug)	代码/参考号字段；源码注释：Third party code (customer or supplier) when record is saved (may help debug)	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	32
llx_accounting_bookkeeping	会计/总账	11	subledger_account	varchar(32)	varchar	YES		N	N				FEC:CompAuxNum | account number of subledger account	字段 subledger_account；源码注释：FEC:CompAuxNum | account number of subledger account	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	33
llx_accounting_bookkeeping	会计/总账	12	subledger_label	varchar(255)	varchar	YES		N	N				FEC:CompAuxLib | label of subledger account	名称/标题字段；源码注释：FEC:CompAuxLib | label of subledger account	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	34
llx_accounting_bookkeeping	会计/总账	13	numero_compte	varchar(32)	varchar	NO		N	N	idx_accounting_bookkeeping_numero_compte			FEC:CompteNum | account number	字段 numero_compte；源码注释：FEC:CompteNum | account number	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	35
llx_accounting_bookkeeping	会计/总账	14	label_compte	varchar(255)	varchar	NO		N	N				FEC:CompteLib | label of account	名称/标题字段；源码注释：FEC:CompteLib | label of account	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	36
llx_accounting_bookkeeping	会计/总账	15	label_operation	varchar(255)	varchar	YES		N	N				FEC:EcritureLib | label of the operation	比例/百分比字段；源码注释：FEC:EcritureLib | label of the operation	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	37
llx_accounting_bookkeeping	会计/总账	16	debit	double(24,8)	double	NO		N	N				FEC:Debit	字段 debit；源码注释：FEC:Debit	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	38
llx_accounting_bookkeeping	会计/总账	17	credit	double(24,8)	double	NO		N	N				FEC:Credit	字段 credit；源码注释：FEC:Credit	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	39
llx_accounting_bookkeeping	会计/总账	18	montant	double(24,8)	double	YES		N	N				FEC:Montant (Not necessary)	字段 montant；源码注释：FEC:Montant (Not necessary)	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	40
llx_accounting_bookkeeping	会计/总账	19	sens	varchar(1)	varchar	YES	NULL	N	N				FEC:Sens (Not necessary)	字段 sens；源码注释：FEC:Sens (Not necessary)	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	41
llx_accounting_bookkeeping	会计/总账	20	multicurrency_amount	double(24,8)	double	YES		N	N				FEC:Montantdevise	金额、价格或税费字段；源码注释：FEC:Montantdevise	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	42
llx_accounting_bookkeeping	会计/总账	21	multicurrency_code	varchar(255)	varchar	YES		N	N				FEC:Idevise	代码/参考号字段；源码注释：FEC:Idevise	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	43
llx_accounting_bookkeeping	会计/总账	22	matching_general	tinyint	tinyint	NO	0	N	N				| if value = 1, match entry is on a general account	字段 matching_general；源码注释：| if value = 1, match entry is on a general account	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	44
llx_accounting_bookkeeping	会计/总账	23	lettering_code	varchar(255)	varchar	YES		N	N				FEC:EcritureLet	代码/参考号字段；源码注释：FEC:EcritureLet	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	45
llx_accounting_bookkeeping	会计/总账	24	date_lettering	datetime	datetime	YES		N	N				FEC:DateLet	日期/时间字段；源码注释：FEC:DateLet	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	46
llx_accounting_bookkeeping	会计/总账	25	date_lim_reglement	datetime	datetime	YES	NULL	N	N				FEC_suppl:DateLimitReglmt    | payment deadline	日期/时间字段；源码注释：FEC_suppl:DateLimitReglmt    | payment deadline	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	47
llx_accounting_bookkeeping	会计/总账	26	fk_user_author	integer	integer	NO		N	N				| user creating	创建人/制单人用户 ID；源码注释：| user creating	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	48
llx_accounting_bookkeeping	会计/总账	27	fk_user_modif	integer	integer	YES		N	N				| user making last change	最后修改人用户 ID；源码注释：| user making last change	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	49
llx_accounting_bookkeeping	会计/总账	28	date_creation	datetime	datetime	YES		N	N				FEC:EcritureDate | creation date	日期/时间字段；源码注释：FEC:EcritureDate | creation date	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	50
llx_accounting_bookkeeping	会计/总账	29	tms	timestamp	timestamp	YES	CURRENT_TIMESTAMP	N	N				| last modification date	最后修改时间戳；源码注释：| last modification date	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	51
llx_accounting_bookkeeping	会计/总账	30	fk_user	integer	integer	YES		N	N				The id of user that validate the accounting source document	外部关联 ID（具体目标以外键或业务代码为准）；源码注释：The id of user that validate the accounting source document	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	52
llx_accounting_bookkeeping	会计/总账	31	code_journal	varchar(32)	varchar	NO		N	N	idx_accounting_bookkeeping_code_journal			FEC:JournalCode	代码/参考号字段；源码注释：FEC:JournalCode	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	53
llx_accounting_bookkeeping	会计/总账	32	journal_label	varchar(255)	varchar	YES		N	N				FEC:JournalLib	名称/标题字段；源码注释：FEC:JournalLib	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	54
llx_accounting_bookkeeping	会计/总账	33	date_validated	datetime	datetime	YES		N	N				FEC:ValidDate | if empty: movement not validated / if not empty: movement validated (No deleting / No modification)	日期/时间字段；源码注释：FEC:ValidDate | if empty: movement not validated / if not empty: movement validated (No deleting / No modification)	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	55
llx_accounting_bookkeeping	会计/总账	34	date_export	datetime	datetime	YES	NULL	N	N					日期/时间字段（基于字段名推断）	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	56
llx_accounting_bookkeeping	会计/总账	35	import_key	varchar(14)	varchar	YES		N	N				ID of import when data was inserted by a mass import	导入批次/外部导入键；源码注释：ID of import when data was inserted by a mass import	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	57
llx_accounting_bookkeeping	会计/总账	36	extraparams	varchar(255)	varchar	YES		N	N				for other parameters with json format	扩展参数/结构化文本；源码注释：for other parameters with json format	htdocs/install/mysql/tables/llx_accounting_bookkeeping-accounting.sql	58
llx_accounting_bookkeeping_piece	会计/总账	1	rowid	integer	integer	NO		Y	Y	PRIMARY	PRIMARY			主键行标识；通常为自增整数	htdocs/install/mysql/tables/llx_accounting_bookkeeping_piece-accounting.sql	21
llx_accounting_bookkeeping_piece	会计/总账	2	entity	integer	integer	NO	1	N	N	uk_accounting_bookkeeping_piece_ref	uk_accounting_bookkeeping_piece_ref			多实体/多公司隔离标识	htdocs/install/mysql/tables/llx_accounting_bookkeeping_piece-accounting.sql	22
llx_accounting_bookkeeping_piece	会计/总账	3	ref	varchar(128)	varchar	YES		N	N	uk_accounting_bookkeeping_piece_ref	uk_accounting_bookkeeping_piece_ref			业务参考号/单号	htdocs/install/mysql/tables/llx_accounting_bookkeeping_piece-accounting.sql	23
llx_accounting_bookkeeping_piece	会计/总账	4	tms	timestamp	timestamp	YES	CURRENT_TIMESTAMP	N	N					最后修改时间戳	htdocs/install/mysql/tables/llx_accounting_bookkeeping_piece-accounting.sql	24
llx_accounting_bookkeeping_piece	会计/总账	5	datec	datetime	datetime	YES		N	N					创建日期/时间	htdocs/install/mysql/tables/llx_accounting_bookkeeping_piece-accounting.sql	25
llx_accounting_bookkeeping_piece	会计/总账	6	datep	date	date	NO		N	N					日期/时间字段（基于字段名推断）	htdocs/install/mysql/tables/llx_accounting_bookkeeping_piece-accounting.sql	26
llx_accounting_bookkeeping_piece	会计/总账	7	statut	smallint	smallint	YES	0	N	N					状态标识	htdocs/install/mysql/tables/llx_accounting_bookkeeping_piece-accounting.sql	27
llx_accounting_bookkeeping_piece	会计/总账	8	note_private	text	text	YES		N	N					内部备注	htdocs/install/mysql/tables/llx_accounting_bookkeeping_piece-accounting.sql	29
llx_accounting_bookkeeping_piece	会计/总账	9	note_public	text	text	YES		N	N					公开备注	htdocs/install/mysql/tables/llx_accounting_bookkeeping_piece-accounting.sql	30
llx_accounting_bookkeeping_piece	会计/总账	10	fk_user_author	integer	integer	YES		N	N	idx_accounting_bookkeeping_piece_fk_user_author				创建人/制单人用户 ID	htdocs/install/mysql/tables/llx_accounting_bookkeeping_piece-accounting.sql	32
llx_accounting_bookkeeping_piece	会计/总账	11	fk_user_modif	integer	integer	YES		N	N	idx_accounting_bookkeeping_piece_fk_user_modif				最后修改人用户 ID	htdocs/install/mysql/tables/llx_accounting_bookkeeping_piece-accounting.sql	33
llx_accounting_bookkeeping_piece	会计/总账	12	fk_user_valid	integer	integer	YES		N	N	idx_accounting_bookkeeping_piece_fk_user_valid				审核/验证人用户 ID	htdocs/install/mysql/tables/llx_accounting_bookkeeping_piece-accounting.sql	34
llx_accounting_bookkeeping_piece	会计/总账	13	fk_user_closing	integer	integer	YES		N	N	idx_accounting_bookkeeping_piece_fk_user_closing				关闭/结账人用户 ID	htdocs/install/mysql/tables/llx_accounting_bookkeeping_piece-accounting.sql	35
llx_accounting_bookkeeping_piece	会计/总账	14	import_key	varchar(14)	varchar	YES		N	N					导入批次/外部导入键	htdocs/install/mysql/tables/llx_accounting_bookkeeping_piece-accounting.sql	37
llx_accounting_bookkeeping_piece	会计/总账	15	extraparams	varchar(255)	varchar	YES		N	N					扩展参数/结构化文本（基于字段名推断）	htdocs/install/mysql/tables/llx_accounting_bookkeeping_piece-accounting.sql	38
llx_accounting_bookkeeping_tmp	会计/总账	1	rowid	integer	integer	NO		Y	Y	PRIMARY	PRIMARY			主键行标识；通常为自增整数	htdocs/install/mysql/tables/llx_accounting_bookkeeping_tmp-accounting.sql	23
llx_accounting_bookkeeping_tmp	会计/总账	2	ref	VARCHAR(30)	varchar	YES		N	N	idx_accounting_bookkeeping_tmp_ref				业务参考号/单号	htdocs/install/mysql/tables/llx_accounting_bookkeeping_tmp-accounting.sql	24
llx_accounting_bookkeeping_tmp	会计/总账	3	entity	integer	integer	NO	1	N	N				| multi company id	多实体/多公司隔离标识；源码注释：| multi company id	htdocs/install/mysql/tables/llx_accounting_bookkeeping_tmp-accounting.sql	25
llx_accounting_bookkeeping_tmp	会计/总账	4	doc_date	date	date	NO		N	N	idx_accounting_bookkeeping_tmp_doc_date			FEC:PieceDate	日期/时间字段；源码注释：FEC:PieceDate	htdocs/install/mysql/tables/llx_accounting_bookkeeping_tmp-accounting.sql	26
llx_accounting_bookkeeping_tmp	会计/总账	5	doc_type	varchar(30)	varchar	NO		N	N				FEC:PieceRef  | facture_client/reglement_client/facture_fournisseur/reglement_fournisseur	字段 doc_type；源码注释：FEC:PieceRef  | facture_client/reglement_client/facture_fournisseur/reglement_fournisseur	htdocs/install/mysql/tables/llx_accounting_bookkeeping_tmp-accounting.sql	27
