source_table	source_column	constraint_name	target_table	target_column	relation_status	source_file	notes
llx_asset	fk_user_creat	fk_asset_user_creat	llx_user	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_asset-asset.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_asset	fk_user_modif	fk_asset_user_modif	llx_user	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_asset-asset.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_bank_account	fk_accountancy_journal	fk_bank_account_accountancy_journal	llx_accounting_journal	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_bank_account.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_bank_record_link	fk_bank_import	fk_bank_import_bank_import	llx_bank_import	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_bank_record_link-bank.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_bank_record_link	fk_bank_record	fk_bank_record_bank_record	llx_bank_record	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_bank_record_link-bank.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_bank_record	fk_bank	bank_record_fk_bank	llx_bank_account	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_bank_record-bank.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_bom_bom	fk_user_creat	llx_bom_bom_fk_user_creat	llx_user	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_bom_bom-bom.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_bom_bomline	fk_bom	llx_bom_bomline_fk_bom	llx_bom_bom	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_bom_bomline-bom.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_bookcal_availabilities	fk_bookcal_calendar	fk_bookcal_availabilities_fk_bookcal_calendar	llx_bookcal_calendar	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_bookcal_availabilities-bookcal.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_bookcal_availabilities	fk_user_creat	fk_bookcal_availabilities_fk_user_creat	llx_user	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_bookcal_availabilities-bookcal.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_bookcal_calendar	fk_user_creat	llx_bookcal_calendar_fk_user_creat	llx_user	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_bookcal_calendar-bookcal.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_boxes	box_id	fk_boxes_box_id	llx_boxes_def	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_boxes.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_budget_lines	fk_budget	fk_budget_lines_budget	llx_budget	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_budget_lines-budget.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_c_departements	fk_region	fk_departements_fk_region	llx_c_regions	code_region	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_c_departements.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_c_regions	fk_pays	fk_c_regions_fk_pays	llx_c_country	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_c_regions.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_c_tva	fk_department_buyer	fk_tva_fk_department_buyer	llx_c_departements	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_c_tva.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_c_ziptown	fk_county	fk_c_ziptown_fk_county	llx_c_departements	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_c_ziptown.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_c_ziptown	fk_pays	fk_c_ziptown_fk_pays	llx_c_country	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_c_ziptown.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_account	fk_categorie	fk_categorie_account_categorie_rowid	llx_categorie	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_account.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_account	fk_account	fk_categorie_account_fk_account	llx_bank_account	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_account.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_actioncomm	fk_categorie	fk_categorie_actioncomm_categorie_rowid	llx_categorie	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_actioncomm.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_actioncomm	fk_actioncomm	fk_categorie_actioncomm_fk_actioncomm	llx_actioncomm	id	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_actioncomm.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_contact	fk_categorie	fk_categorie_contact_categorie_rowid	llx_categorie	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_contact.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_contact	fk_socpeople	fk_categorie_contact_fk_socpeople	llx_socpeople	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_contact.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_fichinter	fk_categorie	fk_categorie_fichinter_categorie_rowid	llx_categorie	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_fichinter-fichinter.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_fichinter	fk_fichinter	fk_categorie_fichinter_fk_fichinter	llx_fichinter	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_fichinter-fichinter.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_fournisseur	fk_categorie	fk_categorie_fournisseur_categorie_rowid	llx_categorie	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_fournisseur.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_fournisseur	fk_soc	fk_categorie_fournisseur_fk_soc	llx_societe	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_fournisseur.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_invoice	fk_categorie	fk_categorie_invoice_categorie_rowid	llx_categorie	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_invoice-facture.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_invoice	fk_invoice	fk_categorie_invoice_fk_invoice_rowid	llx_facture	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_invoice-facture.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_knowledgemanagement	fk_categorie	fk_categorie_knowledgemanagement_categorie_rowid	llx_categorie	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_knowledgemanagement-knowledgemanagement.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_knowledgemanagement	fk_knowledgemanagement	fk_categorie_knowledgemanagement_knowledgemanagement_rowid	llx_knowledgemanagement_knowledgerecord	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_knowledgemanagement-knowledgemanagement.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_lang	fk_category	fk_category_lang_fk_category	llx_categorie	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_lang.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_member	fk_categorie	fk_categorie_member_categorie_rowid	llx_categorie	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_member.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_member	fk_member	fk_categorie_member_member_rowid	llx_adherent	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_member.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_mo	fk_categorie	fk_categorie_mo_categorie_rowid	llx_categorie	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_mo-mrp.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_mo	fk_mo	fk_categorie_mo_fk_mo_rowid	llx_mrp_mo	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_mo-mrp.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_order	fk_categorie	fk_categorie_order_categorie_rowid	llx_categorie	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_order-commande.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_order	fk_order	fk_categorie_order_fk_order_rowid	llx_commande	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_order-commande.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_product	fk_categorie	fk_categorie_product_categorie_rowid	llx_categorie	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_product.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_product	fk_product	fk_categorie_product_product_rowid	llx_product	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_product.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_project_task	fk_categorie	fk_categorie_project_task_categorie_rowid	llx_categorie	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_project_task-project.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_project_task	fk_project_task	fk_categorie_project_task_rowid	llx_projet_task	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_project_task-project.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_project	fk_categorie	fk_categorie_project_categorie_rowid	llx_categorie	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_project.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_project	fk_project	fk_categorie_project_fk_project_rowid	llx_projet	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_project.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_propal	fk_categorie	fk_categorie_propal_categorie_rowid	llx_categorie	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_propal-propal.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_propal	fk_propal	fk_categorie_propal_fk_propal_rowid	llx_propal	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_propal-propal.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_societe	fk_categorie	fk_categorie_societe_categorie_rowid	llx_categorie	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_societe.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_societe	fk_soc	fk_categorie_societe_fk_soc	llx_societe	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_societe.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_supplier_invoice	fk_categorie	fk_categorie_supplier_invoice_categorie_rowid	llx_categorie	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_supplier_invoice.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_supplier_invoice	fk_supplier_invoice	fk_categorie_supplier_invoice_fk_supplier_invoice_rowid	llx_facture_fourn	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_supplier_invoice.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_supplier_order	fk_categorie	fk_categorie_supplier_order_categorie_rowid	llx_categorie	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_supplier_order.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_supplier_order	fk_supplier_order	fk_categorie_supplier_order_fk_supplier_order_rowid	llx_commande_fournisseur	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_supplier_order.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_supplier_proposal	fk_categorie	fk_categorie_supplier_proposal_categorie_rowid	llx_categorie	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_supplier_proposal-supplier_proposal.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_supplier_proposal	fk_supplier_proposal	fk_categorie_supplier_proposal_fk_supplier_proposal_rowid	llx_supplier_proposal	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_supplier_proposal-supplier_proposal.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_ticket	fk_categorie	fk_categorie_ticket_categorie_rowid	llx_categorie	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_ticket-ticket.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_ticket	fk_ticket	fk_categorie_ticket_ticket_rowid	llx_ticket	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_ticket-ticket.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_user	fk_categorie	fk_categorie_user_categorie_rowid	llx_categorie	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_user.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_user	fk_user	fk_categorie_user_fk_user	llx_user	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_user.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_warehouse	fk_categorie	fk_categorie_warehouse_categorie_rowid	llx_categorie	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_warehouse-stock.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_warehouse	fk_warehouse	fk_categorie_warehouse_fk_warehouse_rowid	llx_entrepot	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_warehouse-stock.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_website_page	fk_categorie	fk_categorie_websitepage_categorie_rowid	llx_categorie	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_website_page-website.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_categorie_website_page	fk_website_page	fk_categorie_websitepage_website_page_rowid	llx_website_page	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_categorie_website_page-website.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_commande_fournisseur	fk_soc	fk_commande_fournisseur_fk_soc	llx_societe	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_commande_fournisseur.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_commande_fournisseurdet	fk_unit	fk_commande_fournisseurdet_fk_unit	llx_c_units	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_commande_fournisseurdet.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_commande	fk_projet	fk_commande_fk_projet	llx_projet	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_commande.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_commande	fk_soc	fk_commande_fk_soc	llx_societe	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_commande.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_commande	fk_user_author	fk_commande_fk_user_author	llx_user	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_commande.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_commande	fk_user_cloture	fk_commande_fk_user_cloture	llx_user	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_commande.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_commande	fk_user_valid	fk_commande_fk_user_valid	llx_user	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_commande.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_commandedet	fk_commande	fk_commandedet_fk_commande	llx_commande	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_commandedet.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_commandedet	fk_commandefourndet	fk_commandedet_fk_commandefourndet	llx_commande_fournisseurdet	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_commandedet.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_commandedet	fk_unit	fk_commandedet_fk_unit	llx_c_units	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_commandedet.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_contrat	fk_soc	fk_contrat_fk_soc	llx_societe	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_contrat.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_contrat	fk_user_author	fk_contrat_user_author	llx_user	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_contrat.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_contratdet	fk_contrat	fk_contratdet_fk_contrat	llx_contrat	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_contratdet.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_contratdet	fk_product	fk_contratdet_fk_product	llx_product	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_contratdet.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_contratdet	fk_unit	fk_contratdet_fk_unit	llx_c_units	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_contratdet.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_delivery	fk_soc	fk_delivery_fk_soc	llx_societe	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_delivery.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_delivery	fk_user_author	fk_delivery_fk_user_author	llx_user	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_delivery.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_delivery	fk_user_valid	fk_delivery_fk_user_valid	llx_user	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_delivery.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_deliverydet	fk_delivery	fk_deliverydet_fk_delivery	llx_delivery	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_deliverydet.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_ecm_directories	fk_user_c	fk_ecm_directories_fk_user_c	llx_user	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_ecm_directories.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_ecm_directories	fk_user_m	fk_ecm_directories_fk_user_m	llx_user	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_ecm_directories.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_element_categorie	fk_categorie	fk_element_categorie_fk_categorie	llx_categorie	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_element_categorie.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_element_contact	fk_c_type_contact	fk_element_contact_fk_c_type_contact	llx_c_type_contact	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_element_contact.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_emailcollector_emailcollectoraction	fk_emailcollector	fk_emailcollectoraction_fk_emailcollector	llx_emailcollector_emailcollector	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_emailcollector_emailcollectoraction.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
llx_emailcollector_emailcollectorfilter	fk_emailcollector	fk_emailcollectorfilter_fk_emailcollector	llx_emailcollector_emailcollector	rowid	显式外键（MySQL基线）	htdocs/install/mysql/tables/llx_emailcollector_emailcollectorfilter.key.sql	关系由安装脚本显式创建；业务上仍可能存在未加硬外键的逻辑关系
